agid,name,rank,station,unit,district,subDivision,landline,mobile,email,searchBlob
KSP0423,NARCOTICS CONTROL BUREAU,,NARCOTICS CONTROL BUREAU,Criminal Investigation Department (CID),Bengaluru City,,,080-22943601,,narcotics control bureau criminal investigation department (cid) bengaluru city 080-22943601
KSP0424,EST SECTION,,EST SECTION,Criminal Investigation Department (CID),Bengaluru City,,,080-22094455,,est section criminal investigation department (cid) bengaluru city 080-22094455
KSP0425,DIGP Forest Cell,DIGP,Forest Cell,Forest Cell,,,,080-22094676,digpforestcell@ksp.gov.in,digp forest cell digp forest cell 080-22094676 digpforestcell@ksp.gov.in
KSP0426,SP Forest Cell  Kodagu,SP,Forest Cell  Kodagu,Forest Cell,Kodagu,,,08272-228662,spcidforestmcr@ksp.gov.in,sp forest cell  kodagu sp forest cell  kodagu forest cell kodagu 08272-228662 spcidforestmcr@ksp.gov.in
KSP0427,"DySP Admin, Forest Cell",DySP,"Admin, Forest Cell",HQ,,,,080-22943491,igpforestcell@ksp.gov.in,"dysp admin, forest cell dysp admin, forest cell hq 080-22943491 igpforestcell@ksp.gov.in"
KSP0428,"Deputy Conservator of Forest Urban Forest Department, Malleshwaram",,"Deputy Conservator of Forest Urban Forest Department, Malleshwaram",Forest Cell,,,,080-23343464,dcfurban82@yahoo.co.in,"deputy conservator of forest urban forest department, malleshwaram forest cell 080-23343464 dcfurban82@yahoo.co.in"
KSP0429,ADGP Training,ADGP,"Training, Bengaluru",Training,Bengaluru City,,,080-22343708,dgptraining@ksp.gov.in,"adgp training adgp training, bengaluru training bengaluru city 080-22343708 dgptraining@ksp.gov.in"
KSP0430,DIGP Training,DIGP,Training,Training,,,,080-29703705,igptrg@ksp.gov.in,digp training digp training 080-29703705 igptrg@ksp.gov.in
KSP0431,AAO,AAO,,Training,,,,080-22942835,,aao training 080-22942835
KSP0432,DGP Recruitment,DGP,Recruitment,HQ,,,,080-22343641,dgprntcod@ksp.gov.in,dgp recruitment dgp recruitment hq 080-22343641 dgprntcod@ksp.gov.in
KSP0433,DIGP Recruitment,DIGP,Recruitment,Recruitment,,,,080-22207044,digprect@ksp.gov.in,digp recruitment digp recruitment 080-22207044 digprect@ksp.gov.in
KSP0434,AAO RECRUITMENT,AAO,RECRUITMENT,Recruitment,,,,080-22094602,,aao recruitment aao recruitment 080-22094602
KSP0435,RECRUITMENT SECTION,,RECRUITMENT SECTION,Recruitment,,,,080-22942069,,recruitment section recruitment 080-22942069
KSP0436,RECRUITMENT HELPLINE,,RECRUITMENT HELPLINE,Recruitment,,,,080-22943346,,recruitment helpline recruitment 080-22943346
KSP0437,DySP STF,DySP,STF,Special Task Force (STF),,,,080-22942367,digpstfbng@ksp.gov.in,dysp stf dysp stf special task force (stf) 080-22942367 digpstfbng@ksp.gov.in
KSP0438,DIGP & Special Action Force,DIGP,"& Special Action Force, Mangaluru",Special Action Force (SAF) – Mangaluru,Dakshina Kannada,,,9480800502,digpsafmgc@ksp.gov.in,"digp & special action force digp & special action force, mangaluru special action force (saf) – mangaluru dakshina kannada saf 9480800502 digpsafmgc@ksp.gov.in"
KSP0439,DySP HQ SAF,DySP,HQ SAF Mangaluru,Special Action Force (SAF) – Mangaluru,Dakshina Kannada,,,9480800511,dspsafmgc@ksp.gov.in,dysp hq saf dysp hq saf mangaluru special action force (saf) – mangaluru dakshina kannada saf 9480800511 dspsafmgc@ksp.gov.in
KSP0440,DySP / Asst. Commdt.,DySP,/ Asst. Commdt.,Special Action Force (SAF) – Mangaluru,Dakshina Kannada,,,,,dysp / asst. commdt. dysp / asst. commdt. special action force (saf) – mangaluru dakshina kannada saf
KSP0441,PI HQ SAF,PI,HQ SAF Mangaluru,Special Action Force (SAF) – Mangaluru,Dakshina Kannada,,,,,pi hq saf pi hq saf mangaluru special action force (saf) – mangaluru dakshina kannada saf
KSP0442,PI SAF,PI,SAF Mangaluru,Special Action Force (SAF) – Mangaluru,Dakshina Kannada,,,9480800680,,pi saf pi saf mangaluru special action force (saf) – mangaluru dakshina kannada saf 9480800680
KSP0443,PI SAF,PI,SAF Shivamogga,Special Action Force (SAF) – Mangaluru,Shivamogga,,,9480800682,,pi saf pi saf shivamogga special action force (saf) – mangaluru shivamogga saf 9480800682
KSP0444,PI SAF Udupi,PI,SAF Udupi,Special Action Force (SAF) – Mangaluru,Udupi,,,,,pi saf udupi pi saf udupi special action force (saf) – mangaluru udupi saf
KSP0445,RSI SAF HQ,RSI,SAF HQ Mangalore,Special Action Force (SAF) – Mangaluru,Dakshina Kannada,,,9480800683,,rsi saf hq rsi saf hq mangalore special action force (saf) – mangaluru dakshina kannada saf 9480800683
KSP0446,RSI SAF,RSI,SAF Mangalore,Special Action Force (SAF) – Mangaluru,Dakshina Kannada,,,9480800685,,rsi saf rsi saf mangalore special action force (saf) – mangaluru dakshina kannada saf 9480800685
KSP0447,RSI SAF,RSI,SAF Shivamogga,Special Action Force (SAF) – Mangaluru,Shivamogga,,,9865642261,,rsi saf rsi saf shivamogga special action force (saf) – mangaluru shivamogga saf 9865642261
KSP0448,"DIGP & Principal, PTC, Kalaburagi (Nagenahalli)",DIGP,"& Principal, PTC, Kalaburagi (Nagenahalli)",Training,Kalaburagi,,,08472-298321,principalptcklb@ksp.gov.in,"digp & principal, ptc, kalaburagi (nagenahalli) digp & principal, ptc, kalaburagi (nagenahalli) training kalaburagi 08472-298321 principalptcklb@ksp.gov.in"
KSP0449,Vice Principal PTC,Vice Principal,"PTC, Kalaburagi",Training,Kalaburagi,,,08472-298323,ptcklb@ksp.gov.in,"vice principal ptc vice principal ptc, kalaburagi training kalaburagi 08472-298323 ptcklb@ksp.gov.in"
KSP0450,Principal PTS,Principal,"PTS, Mysuru City",Training,Mysuru,,,0821-2418733,principalptsmyc@ksp.gov.in,"principal pts principal pts, mysuru city training mysuru 0821-2418733 principalptsmyc@ksp.gov.in"
KSP0451,"Principal PDMS, Yelahanka",Principal,"PDMS, Yelahanka",Training,,,,9480800318,sppdmsynk@ksp.gov.in,"principal pdms, yelahanka principal pdms, yelahanka training 9480800318 sppdmsynk@ksp.gov.in"
KSP0452,"Principal KSPTS, Channapatna",Principal,"KSPTS, Channapatna",Training,Ramanagara,,,080-29541248,ksptscptrmn@ksp.gov.in,"principal kspts, channapatna principal kspts, channapatna training ramanagara 080-29541248 ksptscptrmn@ksp.gov.in"
KSP0453,"Principal KSPTS, Khanapur-",Principal,"KSPTS, Khanapur-Belagavi",Training,Belagavi,,,08336-223223,ptskhanapurabgm@ksp.gov.in,"principal kspts, khanapur- principal kspts, khanapur-belagavi training belagavi 08336-223223 ptskhanapurabgm@ksp.gov.in"
KSP0454,"Principal APTS, Yelahanka",Principal,"APTS, Yelahanka",Training,,,,080-29733403,aptsylnk@ksp.gov.in,"principal apts, yelahanka principal apts, yelahanka training 080-29733403 aptsylnk@ksp.gov.in"
KSP0455,Principal PTS,Principal,"PTS, Hubballi-Dharwad",Training,Dharwad,,,0836-2233248,ptshdc@ksp.gov.in,"principal pts principal pts, hubballi-dharwad training dharwad 0836-2233248 ptshdc@ksp.gov.in"
KSP0456,"Principal PTS, Kadur",Principal,"PTS, Kadur",Training,Chikkamagaluru,,,6362107289,ptskadurckm@ksp.gov.in,"principal pts, kadur principal pts, kadur training chikkamagaluru 6362107289 ptskadurckm@ksp.gov.in"
KSP0457,"Principal PTS, Aimangala",Principal,"PTS, Aimangala",Training,,,,08193-273220,aimangalaptscta@ksp.gov.in,"principal pts, aimangala principal pts, aimangala training 08193-273220 aimangalaptscta@ksp.gov.in"
KSP0458,"Principal PTS, Hassan",Principal,"PTS, Hassan",Training,Hassan,,,08172-200100,principalptshsn@ksp.gov.in,"principal pts, hassan principal pts, hassan training hassan 08172-200100 principalptshsn@ksp.gov.in"
KSP0459,"Principal PTS, Thanisandra",Principal,"PTS, Thanisandra",Training,,,,080-29736905,ptsthanisandrabcp@ksp.gov.in,"principal pts, thanisandra principal pts, thanisandra training 080-29736905 ptsthanisandrabcp@ksp.gov.in"
KSP0460,"Principal KSRP Training School, Munirabad",Principal,"KSRP Training School, Munirabad",Training,,,,08539-200100,ksrpts@ksp.gov.in,"principal ksrp training school, munirabad principal ksrp training school, munirabad training 08539-200100 ksrpts@ksp.gov.in"
KSP0461,"Principal KSRP Training School, Kangralli",Principal,"KSRP Training School, Kangralli, Belagavi",Training,Belagavi,,,0831-2405676,ptskangrallibgm@ksp.gov.in,"principal ksrp training school, kangralli principal ksrp training school, kangralli, belagavi training belagavi 0831-2405676 ptskangrallibgm@ksp.gov.in"
KSP0462,"Vice Principal KSRP Training School, Kangralli",Vice Principal,"KSRP Training School, Kangralli, Belagavi",Training,Belagavi,,,0831-2405678,asish.meghannanavar@gmail.com,"vice principal ksrp training school, kangralli vice principal ksrp training school, kangralli, belagavi training belagavi 0831-2405678 asish.meghannanavar@gmail.com"
KSP0463,DySP(W) KSPWTS,DySP (W),"KSPWTS, Bengaluru",Training,Bengaluru City,,,080-22942757,kspwtraining@gmail.com,"dysp(w) kspwts dysp (w) kspwts, bengaluru training bengaluru city 080-22942757 kspwtraining@gmail.com"
KSP0464,"DGP Chairman and MD, KSPH & IDCL",DGP,"Chairman and MD, KSPH & IDCL Bengaluru",HQ,Bengaluru City,,,080-22943190,mdksphc@ksp.gov.in,"dgp chairman and md, ksph & idcl dgp chairman and md, ksph & idcl bengaluru hq bengaluru city 080-22943190 mdksphc@ksp.gov.in"
KSP0465,AAO KSPH & IDCL,AAO,KSPH & IDCL,KSPH & IDCL,,,,080-22942844,aaoksphidcl@gmail.com,aao ksph & idcl aao ksph & idcl 080-22942844 aaoksphidcl@gmail.com
KSP0466,KSPHC GENERAL,,KSPHC GENERAL,KSPH & IDCL,,,,080-25584102,,ksphc general ksph & idcl 080-25584102
KSP0467,ADGP BMTF,ADGP,BMTF,HQ,Bengaluru City,,,080-22975586,bmtf.policestation@gmail.com,adgp bmtf adgp bmtf hq bengaluru city 080-22975586 bmtf.policestation@gmail.com
KSP0468,SP BMTF,SP,BMTF,BMTF,Bengaluru City,,,080-22975587,spbmtf@gmail.com,sp bmtf sp bmtf bengaluru city 080-22975587 spbmtf@gmail.com
KSP0469,DySP BMTF,DySP,BMTF,BMTF,Bengaluru City,,,080-22975588,bmtfdysp@gmail.com,dysp bmtf dysp bmtf bengaluru city 080-22975588 bmtfdysp@gmail.com
KSP0470,DGP PCW,DGP,PCW,PCW/SCRB,Bengaluru City,,,080-22942237,dgppcw@ksp.gov.in,dgp pcw dgp pcw pcw/scrb bengaluru city 080-22942237 dgppcw@ksp.gov.in
KSP0471,DIGP SCRB,DIGP,SCRB,SCRB,UNKNOWN,,,080-22254790,digpscrb@ksp.gov.in,digp scrb digp scrb unknown 080-22254790 digpscrb@ksp.gov.in
KSP0472,DySP DYSP SCRB,DySP,DYSP SCRB,SCRB,UNKNOWN,,,080-22353888,dyspscrb@ksp.gov.in,dysp dysp scrb dysp dysp scrb scrb unknown 080-22353888 dyspscrb@ksp.gov.in
KSP0473,SCRB GENERAL (POLICE IT HELP DESK),,SCRB GENERAL (POLICE IT HELP DESK),PCW/SCRB,Bengaluru City,,,080-22943781,policeithelpdesk@ksp.gov.in,scrb general (police it help desk) pcw/scrb bengaluru city 080-22943781 policeithelpdesk@ksp.gov.in
KSP0474,"Data Centre, Koramangala",,"Data Centre, Koramangala",SCRB,UNKNOWN,,,080-22943776,kspdcnoc@ksp.gov.in,"data centre, koramangala scrb unknown 080-22943776 kspdcnoc@ksp.gov.in"
KSP0475,AAO Section Supdt.,AAO,Section Supdt.,SCRB,UNKNOWN,,,080-22943784,,aao section supdt. aao section supdt. scrb unknown 080-22943784
KSP0476,DGP Prisons & Correctional Services,DGP,Prisons & Correctional Services,HQ,,,,080-22267169,dg.prisons.cs@karnataka.gov.in,dgp prisons & correctional services dgp prisons & correctional services hq 080-22267169 dg.prisons.cs@karnataka.gov.in
KSP0477,DIGP PRISON,DIGP,PRISON,Prisons,,,,080-22262263,,digp prison digp prison prisons 080-22262263
KSP0478,SP Admin Prisons,SP,Admin Prisons,HQ,,,,080-22280550,spprisions@ksp.gov.in,sp admin prisons sp admin prisons hq 080-22280550 spprisions@ksp.gov.in
KSP0479,Addl. IG Prisons HQ,Addl. IG,Prisons HQ,Prisons,,,,080-22263171,digprisons@ksp.gov.in,addl. ig prisons hq addl. ig prisons hq prisons 080-22263171 digprisons@ksp.gov.in
KSP0480,"DIG, Prison Academy Of Prisons And Correction Services",,"DIG, Prison Academy Of Prisons And Correction Services",Prisons,,,,080-25736408,,"dig, prison academy of prisons and correction services prisons 080-25736408"
KSP0481,Chief Superintendent of Academy Of Prisons And Correction Services,,Chief Superintendent of Academy Of Prisons And Correction Services,Prisons,,,,,,chief superintendent of academy of prisons and correction services prisons
KSP0482,"DIG, Prisons, North Range",,"DIG, Prisons, North Range, Belagavi",Prisons,Belagavi,,,0831-2405261,dignorth.prisons@ka.gov.in,"dig, prisons, north range dig, prisons, north range, belagavi prisons belagavi 0831-2405261 dignorth.prisons@ka.gov.in"
KSP0483,DIG Prisons Southern Range,,DIG Prisons Southern Range,Prisons,,,,080-22545519,digsouth.prisons-kar@ka.gov.in,dig prisons southern range prisons 080-22545519 digsouth.prisons-kar@ka.gov.in
KSP0484,SP Prisons (Prison Dept.),SP,Prisons (Prison Dept.),Prisons,,,,080-22261131,phq.prisons-kar@gov.in,sp prisons (prison dept.) sp prisons (prison dept.) prisons 080-22261131 phq.prisons-kar@gov.in
KSP0485,PRISON HEAD OFFICE,,PRISON HEAD OFFICE,Prisons,,,,080-22262263,,prison head office prisons 080-22262263
KSP0486,Chief Superintendent of Prison,,"Chief Superintendent of Prison, Bengaluru",Prisons,Bengaluru City,,,080-25731611,cpblr.prisons-kar@gov.in,"chief superintendent of prison chief superintendent of prison, bengaluru prisons bengaluru city 080-25731611 cpblr.prisons-kar@gov.in"
KSP0487,Central Jail,,Central Jail Belagavi,CEN,Belagavi City,,,0831-2405275,cpbgm.prisons-kar@gov.in,central jail central jail belagavi cen belagavi city 0831-2405275 cpbgm.prisons-kar@gov.in
KSP0488,Dist. Jail,,Dist. Jail,Prison,Ballari,,,08392-255025,cpbly.prisons-kar@gov.in,dist. jail prison ballari 08392-255025 cpbly.prisons-kar@gov.in
KSP0489,"Chief Superintendent of Prison, Kalaburgi",,"Chief Superintendent of Prison, Kalaburgi",Prison,,,,08472-212567,cpgbg.prisons-kar@gov.in,"chief superintendent of prison, kalaburgi prison 08472-212567 cpgbg.prisons-kar@gov.in"
KSP0490,Chief Superintendent of Central Women Prison,,"Chief Superintendent of Central Women Prison, Shivamogga",Prison,Shivamogga,,,08182-298401,cpwsmg.prisons@ka.gov.in,"chief superintendent of central women prison chief superintendent of central women prison, shivamogga prison shivamogga 08182-298401 cpwsmg.prisons@ka.gov.in"
KSP0491,Chief Superintendent of Prison,,"Chief Superintendent of Prison, Shivamogga",Prison,Shivamogga,,,08182-295502,cpsmg.prisons@ka.gov.in,"chief superintendent of prison chief superintendent of prison, shivamogga prison shivamogga 08182-295502 cpsmg.prisons@ka.gov.in"
KSP0492,Chief Superintendent of Prison,,"Chief Superintendent of Prison, Mysuru",Prison,Mysuru,,,0821-2492089,cpmys.prisons-kar@gov.in,"chief superintendent of prison chief superintendent of prison, mysuru prison mysuru 0821-2492089 cpmys.prisons-kar@gov.in"
KSP0493,Supdt of Central Prisons,,Supdt of Central Prisons,CEN,Vijayapura,,,08352-272044,cpbpr.prisons-kar@gov.in,supdt of central prisons cen vijayapura 08352-272044 cpbpr.prisons-kar@gov.in
KSP0494,SP Central Prison,SP,SP Central Prison,Prison,Dharwad,,,0836-2447428,cpdwd.prisons-kar@gov.in,sp central prison sp prison dharwad 0836-2447428 cpdwd.prisons-kar@gov.in
KSP0495,"CENTRAL JAIL, PARAPPANA AGRAHARA",,"CENTRAL JAIL, PARAPPANA AGRAHARA, BENGALURU",Prison,Bengaluru City,,,,,"central jail, parappana agrahara central jail, parappana agrahara, bengaluru prison bengaluru city"
KSP0496,Principal PTI,Principal,"PTI, Mysuru",Prison,Mysuru,,,0821-2497744,cpmys.prisons-kar@gov.in,"principal pti principal pti, mysuru prison mysuru 0821-2497744 cpmys.prisons-kar@gov.in"
KSP0497,"Asst. Superintendent of Prison, Karwar",,"Asst. Superintendent of Prison, Karwar",Prison,,,,08382-226347,cpkrw.prisons-kar@gov.in,"asst. superintendent of prison, karwar prison 08382-226347 cpkrw.prisons-kar@gov.in"
KSP0498,Asst. Superintendent of Prison,,"Asst. Superintendent of Prison, Tumkur",Prison,Tumakuru,,,0816-2950047,dptmr.prisons-kar@gov.in,"asst. superintendent of prison asst. superintendent of prison, tumkur prison tumakuru 0816-2950047 dptmr.prisons-kar@gov.in"
KSP0499,Dist. Jail,,Dist. Jail,Prison,Bidar,,,08482-228225,dpbdr-prisons-kar@gov.in,dist. jail prison bidar 08482-228225 dpbdr-prisons-kar@gov.in
KSP0500,Asst. Superintendent of Prison,,"Asst. Superintendent of Prison, Mangaluru",Prison,Dakshina Kannada,,,8618641520,,"asst. superintendent of prison asst. superintendent of prison, mangaluru prison dakshina kannada 8618641520"
KSP0501,"PRISON, MADIKERI",,"PRISON, MADIKERI",Prison,,,,08272-228462,dpmdk.prisons-kar@gov.in,"prison, madikeri prison 08272-228462 dpmdk.prisons-kar@gov.in"
KSP0502,PRISON,,"PRISON, MANGALURU",Prison,Dakshina Kannada,,,0824-2492303,dpmng.prisons-kar@gov.in,"prison prison, mangaluru dakshina kannada 0824-2492303 dpmng.prisons-kar@gov.in"
KSP0503,"PRISON, RAICHUR",,"PRISON, RAICHUR",Prison,Raichur,,,08532-226134,dprcr.prisons-kar@gov.in,"prison, raichur prison raichur 08532-226134 dprcr.prisons-kar@gov.in"
KSP0504,PRISON,,"PRISON, SHIVAMOGGA",Prison,Shivamogga,,,08182-295663,cpsmg.prisons@ka.gov.in,"prison prison, shivamogga shivamogga 08182-295663 cpsmg.prisons@ka.gov.in"
KSP0505,ADGP STATE INT (Chief of Intelligence),ADGP,STATE INT (Chief of Intelligence),HQ,Bengaluru City,,,9449878500,director.int@ksp.gov.in,adgp state int (chief of intelligence) adgp state int (chief of intelligence) hq bengaluru city 9449878500 director.int@ksp.gov.in
KSP0506,IGP State INT. Security,IGP,State INT. Security,HQ,Bengaluru City,,,080-22215129,add.int@ksp.gov.in,igp state int. security igp state int. security hq bengaluru city 080-22215129 add.int@ksp.gov.in
KSP0507,DIGP Admin State INT.,DIGP,Admin State INT.,HQ,Bengaluru City,,,080-22215568,jd.int@ksp.gov.in,digp admin state int. digp admin state int. hq bengaluru city 080-22215568 jd.int@ksp.gov.in
KSP0508,DIGP INT. Bengaluru City Cell,DIGP,INT. Bengaluru City Cell,Districts,Bengaluru City,,,080-22494774,ddcitycell.int@ksp.gov.in,digp int. bengaluru city cell digp int. bengaluru city cell districts bengaluru city 080-22494774 ddcitycell.int@ksp.gov.in
KSP0509,SP Admin INT,SP,Admin INT,HQ,Bengaluru City,,,080-22241261,spadminint@ksp.gov.in,sp admin int sp admin int hq bengaluru city 080-22241261 spadminint@ksp.gov.in
KSP0510,SP INT Mysuru Division,SP,INT Mysuru Division,Districts,Mysuru,,,0821-2342142,ddmys.int@ksp.gov.in,sp int mysuru division sp int mysuru division districts mysuru 0821-2342142 ddmys.int@ksp.gov.in
KSP0511,"SP INT. Mangaluru, Division",SP,"INT. Mangaluru, Division",Districts,Dakshina Kannada,,,0824-2455713,ddmaq.int@ksp.gov.in,"sp int. mangaluru, division sp int. mangaluru, division districts dakshina kannada 0824-2455713 ddmaq.int@ksp.gov.in"
KSP0512,SP INT. CM Security,SP,INT. CM Security,HQ,Bengaluru City,,,080-22942489,ddcm.int@ksp.gov.in,sp int. cm security sp int. cm security hq bengaluru city 080-22942489 ddcm.int@ksp.gov.in
KSP0513,SP SITA (STATE INT TRAINING ACADEMY),SP,SITA (STATE INT TRAINING ACADEMY),HQ,Bengaluru City,,,080-22100577,sita.int@ksp.gov.in,sp sita (state int training academy) sp sita (state int training academy) hq bengaluru city 080-22100577 sita.int@ksp.gov.in
KSP0514,SP INT. (CI Cell) Counter Intelligence Cell,SP,INT. (CI Cell) Counter Intelligence Cell,Districts,Bengaluru City,,,080-29606111,ddcicell.int@ksp.gov.in,sp int. (ci cell) counter intelligence cell sp int. (ci cell) counter intelligence cell districts bengaluru city 080-29606111 ddcicell.int@ksp.gov.in
KSP0515,SP INT. Bengaluru Division,SP,INT. Bengaluru Division,Districts,Bengaluru City,,,080-23337221,bcpint@ksp.gov.in,sp int. bengaluru division sp int. bengaluru division districts bengaluru city 080-23337221 bcpint@ksp.gov.in
KSP0516,SP Current Affairs,SP,Current Affairs,HQ,Bengaluru City,,,080-22213932,ddca.int@ksp.gov.in,sp current affairs sp current affairs hq bengaluru city 080-22213932 ddca.int@ksp.gov.in
KSP0517,SP PI DCRB,SP,PI DCRB,DCRB,Davanagere,,,08192-230501,dddvg.int@ksp.gov.in,sp pi dcrb sp pi dcrb dcrb davanagere 08192-230501 dddvg.int@ksp.gov.in
KSP0518,SP INT. Security,SP,INT. Security,HQ,Bengaluru City,,,080-22214268,spsecint@ksp.gov.in,sp int. security sp int. security hq bengaluru city 080-22214268 spsecint@ksp.gov.in
KSP0519,SP INT. Communal (Social Affairs),SP,INT. Communal (Social Affairs),HQ,Bengaluru City,,,080-22215828,ddsa.int@ksp.gov.in,sp int. communal (social affairs) sp int. communal (social affairs) hq bengaluru city 080-22215828 ddsa.int@ksp.gov.in
KSP0520,SP INT. Belagavi Division,SP,INT. Belagavi Division,Districts,Belagavi,,,0831-2405213,ddbgm.int@ksp.gov.in,sp int. belagavi division sp int. belagavi division districts belagavi 0831-2405213 ddbgm.int@ksp.gov.in
KSP0521,SP INT. BDDS,SP,INT. BDDS,HQ,Bengaluru City,,,080-22100575,ddbdds.int@ksp.gov.in,sp int. bdds sp int. bdds hq bengaluru city 080-22100575 ddbdds.int@ksp.gov.in
KSP0522,SP INT. Kalaburagi Division,SP,INT. Kalaburagi Division,Districts,Kalaburagi,,,08472-263649,ddklb.int@ksp.gov.in,sp int. kalaburagi division sp int. kalaburagi division districts kalaburagi 08472-263649 ddklb.int@ksp.gov.in
KSP0523,SP INT. Bellari,SP,INT. Bellari,Districts,Bengaluru City,,,9449878529,,sp int. bellari sp int. bellari districts bengaluru city 9449878529
KSP0524,SP Airport,SP,Airport,HQ,Bengaluru City,,,9449878551,airport.int@ksp.gov.in,sp airport sp airport hq bengaluru city 9449878551 airport.int@ksp.gov.in
KSP0525,INT C/Room,,INT C/Room,HQ,Bengaluru City,,,9449878811,crstateint@ksp.gov.in,int c/room hq bengaluru city 9449878811 crstateint@ksp.gov.in
KSP0526,PI Wireless,PI,Wireless,Wireless,Chikkaballapura,,,9449878591,,pi wireless pi wireless chikkaballapura 9449878591
KSP0527,PSI (IAD) ADMIN,PSI,(IAD) ADMIN,HQ,Bengaluru City,,,9449878513,,psi (iad) admin psi (iad) admin hq bengaluru city 9449878513
KSP0528,PSI (INT) INT DATA CENTER,PSI,(INT) INT DATA CENTER,HQ,Bengaluru City,,,9449878837,ciodc.int@ksp.gov.in,psi (int) int data center psi (int) int data center hq bengaluru city 9449878837 ciodc.int@ksp.gov.in
KSP0529,DySP SITA (Spl. BRANCH TRAINING INSTITUTE),DySP,SITA (Spl. BRANCH TRAINING INSTITUTE),HQ,Bengaluru City,,,9449878516,,dysp sita (spl. branch training institute) dysp sita (spl. branch training institute) hq bengaluru city 9449878516
KSP0530,DySP C/Room,DySP,C/Room,HQ,Bengaluru City,,,9449878549,,dysp c/room dysp c/room hq bengaluru city 9449878549
KSP0531,DySP FR,DySP,FR,HQ,Bengaluru City,,,9449878575,,dysp fr dysp fr hq bengaluru city 9449878575
KSP0532,DySP CITY CELL,DySP,CITY CELL,Districts,Bengaluru City,,,9449878555,,dysp city cell dysp city cell districts bengaluru city 9449878555
KSP0533,DySP (POL),DySP,(POL),HQ,Bengaluru City,,,9449878537,,dysp (pol) dysp (pol) hq bengaluru city 9449878537
KSP0534,DySP (BD) DIVISION,DySP,(BD) DIVISION,Districts,Bengaluru City,,,9449878599,,dysp (bd) division dysp (bd) division districts bengaluru city 9449878599
KSP0535,DySP BDDS,DySP,BDDS,HQ,Bengaluru City,,,9449878566,,dysp bdds dysp bdds hq bengaluru city 9449878566
KSP0536,DySP M.T SECTION (CIO),DySP,M.T SECTION (CIO),HQ,Bengaluru City,,,9449878536,,dysp m.t section (cio) dysp m.t section (cio) hq bengaluru city 9449878536
KSP0537,DySP L&S,DySP,L&S,HQ,Bengaluru City,,,9449878515,,dysp l&s dysp l&s hq bengaluru city 9449878515
KSP0538,DySP CI CELL,DySP,CI CELL,Districts,Bengaluru City,,,9449878534,,dysp ci cell dysp ci cell districts bengaluru city 9449878534
KSP0539,DySP VIP SECURITY ADMIN,DySP,VIP SECURITY ADMIN,HQ,Bengaluru City,,,9449878522,,dysp vip security admin dysp vip security admin hq bengaluru city 9449878522
KSP0540,DySP CM SECURITY,DySP,CM SECURITY,HQ,Bengaluru City,,,9449878582,,dysp cm security dysp cm security hq bengaluru city 9449878582
KSP0541,INT EXCHANGE,,INT EXCHANGE,HQ,Bengaluru City,,,,,int exchange hq bengaluru city
KSP0542,AAO,AAO,,HQ,Bengaluru City,,,9449878589,,aao hq bengaluru city 9449878589
KSP0543,INT VIP SECURITY,,INT VIP SECURITY,HQ,Bengaluru City,,,,,int vip security hq bengaluru city
KSP0544,PA DIRECTOR INT,PA,DIRECTOR INT,HQ,Bengaluru City,,,9449878590,,pa director int pa director int hq bengaluru city 9449878590
KSP0545,"CM, SPECIAL OFFICER",,"CM, SPECIAL OFFICER",HQ,Bengaluru City,,,9449878584,,"cm, special officer hq bengaluru city 9449878584"
KSP0546,DySP INT,DySP,INT,HQ,Kalaburagi,,,08472-263650,,dysp int dysp int hq kalaburagi 08472-263650
KSP0547,DySP PI DCRB,DySP,PI DCRB,DCRB,Davanagere,,,08192-230501,,dysp pi dcrb dysp pi dcrb dcrb davanagere 08192-230501
KSP0548,DySP MYSURU DIVISION,DySP,MYSURU DIVISION,Districts,Mysuru,,,9449878624,,dysp mysuru division dysp mysuru division districts mysuru 9449878624
KSP0549,DySP INT,DySP,INT,HQ,Hubballi-Dharwad City,,,0836-2371302,,dysp int dysp int hq hubballi-dharwad city 0836-2371302
KSP0550,DySP INT,DySP,INT,HQ,Shivamogga,,,08182-226905,,dysp int dysp int hq shivamogga 08182-226905
KSP0551,PI DCRB,PI,DCRB,DCRB,Davanagere,,,08192-230501,,pi dcrb pi dcrb davanagere 08192-230501
KSP0552,PI INT DWD,PI,INT DWD,Districts,Dharwad,,,0836-2270346,,pi int dwd pi int dwd districts dharwad 0836-2270346
KSP0553,PI INT,PI,INT,HQ,Gadag,,,08372-245044,,pi int pi int hq gadag 08372-245044
KSP0554,PI GOKAK,PI,GOKAK,Districts,Bengaluru City,,,08332-225332,,pi gokak pi gokak districts bengaluru city 08332-225332
KSP0555,PI HASSAN,PI,HASSAN,HQ,Hassan,,,08172-267580,,pi hassan pi hassan hq 08172-267580
KSP0556,PI KGF,PI,KGF,Districts,Bengaluru City,,,08153-274080,,pi kgf pi kgf districts bengaluru city 08153-274080
KSP0557,PI INT Koppal,PI,INT Koppal,HQ,Koppal,,,08539-222133,,pi int koppal pi int koppal hq koppal 08539-222133
KSP0558,PI INT,PI,INT,HQ,Ballari,,,08392-277974,,pi int pi int hq ballari 08392-277974
KSP0559,PI VIJAYAPURA,PI,VIJAYAPURA,HQ,Vijayapura,,,08352-265656,,pi vijayapura pi vijayapura hq 08352-265656
KSP0560,PI Bidar,PI,PS Bidar,DCRE,Northeastern,,,08482-225179,,pi bidar pi ps bidar dcre northeastern 08482-225179
