"Section","Unit","Designation","Phone","Email"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DSP DCRE PS Tumakuru","— / 9480806132",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Tumakuru","— / 9480806133",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Ramanagara","080-29911891 / —","rmnpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DSP DCRE PS Ramanagara","— / 9480806134",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Ramanagara","— / 9480806135",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Chikkaballapur","08156-272733 / —","cbppsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Chikkaballapur","— / 9480806136",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Chikkaballapur","— / 9480806137",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","SP, DCRE, Southern Range","0821-2344970 / 2344912 / 9480806107","spsrdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Mysuru","0821-2344970 / —","mycpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DSP DCRE PS Mysuru","— / 9480806138",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Mysuru","— / 9480806139",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Hassan","08172-200023 / —","hsnpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DSP DCRE PS Hassan","— / 9480806140",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Hassan","— / 9480806141",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Mandya","08232-230703 / —","mdypsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Mandya","— / 9480806142",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Mandya","— / 9480806143",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Chamarajanagara","08226-224122 / —","chnpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Chamarajanagara","— / 9480806144",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Chamarajanagara","— / 9480806145",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Kodagu","08272-221050 / —","mcrpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Kodagu","— / 9480806146",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Kodagu","— / 9480806147",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","SP, DCRE Northern Range","0831-2453802 / 9480806108","spnrdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Belagavi","0831-2453802 / —","bgmpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Belagavi","— / 9480806148",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Belagavi","— / 9480806149",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Bagalkote","08354-295768 / —","bgkpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Bagalkote","— / 9480806150",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Bagalkote","— / 9480806151",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Dharwad","0836-2445580 / —","dwdpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Dharwad","— / 9480806152",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Dharwad","— / 9480806153",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Gadag","08372-200223 / —","gdgpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Gadag","— / 9480806154",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Gadag","— / 9480806155",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Vijayapura","08352-200150 / —","vjppsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DSP DCRE PS Vijayapura","— / 9480806156",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Vijayapura","— / 9480806157",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","SP, DCRE Eastern Range","08192-259574 / 9480806109","sperdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Shivamogga","08182-200788 / —","shipsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DSP DCRE PS Shivamogga","— / 9480806158",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Shivamogga","— / 9480806159",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Chitradurga","08194-231217 / —","ctapsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Chitradurga","— / 9480806160",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Chitradurga","— / 9480806161",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Davanagere","08192-259575 / —","dvgpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Davanagere","— / 9480806162",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Davanagere","— / 9480806163",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Haveri","08375-200867 / —","hvrpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Haveri","— / 9480806164",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Haveri","— / 9480806165",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","SP, DCRE, Western Range","0824-2453644 / 9480806110","spwrdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Dakshina Kannada","0824-2003644 / —","dkpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Dakshina Kannada","— / 9480806166",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Dakshina Kannada","— / 9480806167",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Uttara Kannada","08382-221214 / —","ukpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Uttara Kannada","— / 9480806168",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Uttara Kannada","— / 9480806169",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Udupi","0820-2003644 / —","udppsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Udupi","— / 9480806170",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Udupi","— / 9480806171",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Chikkamagaluru","08262-232335 / —","ckmpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Chikkamagaluru","— / 9480806172",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Chikkamagaluru","— / 9480806173",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","SP, DCRE, North-Eastern Range","08472-263647 / 9480806111","spnerdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Kalaburagi","08472-255266 / —","kbcpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DSP DCRE PS Kalaburagi","— / 9480806174",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Kalaburagi","— / 9480806175",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Yadagiri","08473-200141 / —","ydrpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Yadagiri","— / 9480806176",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Yadagiri","— / 9480806177",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Bidar","08482-200988 / —","bdrpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Bidar","— / 9480806178",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Bidar","— / 9480806179",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","SP, DCRE, Ballari Range","08392-299039 / 9480806112","spblrdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Ballari","08392-299038 / —","blrpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Ballari","— / 9480806180",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Ballari","— / 9480806181",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Raichur","08532-230100 / —","rcrpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Raichur","— / 9480806182",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Raichur","— / 9480806183",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Koppal","08539-230227 / —","kplpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Koppal","— / 9480806184",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Koppal","— / 9480806185",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","DCRE PS Vijayanagar","08394-266100 / —","vjnpsdcre@ksp.gov.in"
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PI DCRE PS Vijayanagar","— / 9480806186",""
"Special Units","Directorate of Civil Rights Enforcement (DCRE)","PSI DCRE PS Vijayanagar","— / 9480806187",""
"Special Units","Karnataka Railways Police","DIGP, Railways","080-22102659 / 22942279 / 9480800455","igprly@ksp.gov.in"
"Special Units","Karnataka Railways Police","SP, Railways","080-22942351 / 22872149 / 9480800458","sprly@ksp.gov.in"
"Special Units","Karnataka Railways Police","Railway Police Control Room","080-22942666 / 22871291 / 9480802140","dcrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","RPF Control Room","080-22871245 / 7022627070",""
"Special Units","Karnataka Railways Police","AAO","080-22942843 / —","aaorly@ksp.gov.in"
"Special Units","Karnataka Railways Police","DSP, Railways Bengaluru Sub-Division","080-22872483 / 22943733 / 9480800461","sdpoblorerly@ksp.gov.in"
"Special Units","Karnataka Railways Police","DSP, Railways Hubballi Sub-Division","0836-2233510 / 9480800462","sdpohublirly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PI, Railways RCRB, Bengaluru","080-22943176 / 22268591 / 9480802105","rcrbrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","CPI, Railways Cantonment, Bengaluru","080-22266260 / 22942212 / 9480802102","cpiblorecantrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","CPI, Railways, Mysuru","0821-25165790 / 9480802104","cpimysorerly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PI, Railways, Mangaluru","0824-2220559 / 9480800470","mangalorerly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PI, Railways, Davanagere","08192-259643 / 9480800469","davanagererly@ksp.gov.in"
"Special Units","Karnataka Railways Police","CPI, Railways, Hubballi","0836-2364751 / 9480800468","cpihublirly@ksp.gov.in"
"Special Units","Karnataka Railways Police","CPI, Railways, Raichur","08532-225534 / 9480800471","cpiraichurrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) SBC, Bangalore City","080-22371057 / 9480802113","blorecityrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (Crime) SBC, Bangalore City","080-22371057 / 9480802112","blorecityrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI Traffic-1 SBC, Bangalore City","080-22371057 / 9480802115","blorecityrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI Traffic-2 SBC, Bangalore City","080-22371057 / 9480802114","blorecityrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) BR, Yeshvanthapur","080-23376404 / 22942719 / 9480802118","bloreruralrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (Crime) BR, Yeshvanthapur","080-23376404 / 22942719 / —","bloreruralrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) BNC, Cantonment","080-22266260 / 22942212 / 9480802116","blorecantrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (Crime) BNC, Cantonment","080-22266260 / 22942212 / 9480802117","blorecantrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O), Bayappanahalli","080-25460851 / 22943509 / 9480802119","byapanahallirly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI Traffic, Bayappanahalli","080-25460851 / 22943509 / —","byapanahallirly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Banagarapete","08153-255304 / 9480802120","bangarapeterly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Mysuru","0821-2516879 / 9480802122","mysorerly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Arasikere","08174-232244 / 9480802125","arasikererly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Shivamogga","08182-222974 / 9480802124","shimogarly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Mangaluru","0824-2220559 / 9480802121","mangalorerly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Davanagere","08192-259643 / 9480802123","davangererly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Hubballi","0836-2364757 / 9480802126","hublirly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Belagavi","0831-2405273 / 9480802127","belgaumrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Gadag","08372-278744 / 9480802128","gadagrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Vijayapura","08352-250883 / 9480802129","bijapurrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (Crime) Vijayapura","08352-250883 / —","bijapurrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Raichur","08532-231716 / 9480802111","raichurrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Ballari","08392-276063 / 9480802131","bellaryrly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Wadi","08476-202244 / 9480802132","wadirly@ksp.gov.in"
"Special Units","Karnataka Railways Police","PSI (L&O) Bidar","08482-226389 / 9480802133","bidarrly@ksp.gov.in"
"Special Units","Karnataka Police Academy (KPA)","DIGP & Director, KPA","0821-2418627 / 2522057 / 9480800302","directorkpa@ksp.gov.in"
"Special Units","Karnataka Police Academy (KPA)","Deputy Director, KPA","0821-2564297 / 0821-2418628 / 9480800332","ddkpa@ksp.gov.in"
"Special Units","Karnataka Police Academy (KPA)","Asst. Director (Training)","— / 9480800333",""
"Special Units","Karnataka Police Academy (KPA)","Asst. Director (ICT/FS)","— / 9480800335","idnodelkpa@ksp.gov.in"
"Special Units","Karnataka Police Academy (KPA)","Asst. Director (Works)","0821-2418629 / 9480800334",""
"Special Units","Karnataka Police Academy (KPA)","Asst. Director (Outdoor)","0821-2418633 / —","adoutdoorkpa@ksp.gov.in"
"Special Units","Karnataka Police Academy (KPA)","Asst. Director (FPB)","— / 9480800340",""
"Special Units","Karnataka Police Academy (KPA)","Asst. Director (H&S)","0821-2418734 / 9480800336",""
"Special Units","Karnataka Police Academy (KPA)","Asst. Director (SC)","— / 9980128562",""
"Special Units","Karnataka Police Academy (KPA)","DD Prosecution-1","— / 9980624374",""
"Special Units","Karnataka Police Academy (KPA)","DD Prosecution-2","0821-2418630 / 9480800337",""
"Special Units","Karnataka Police Academy (KPA)","CHC, System Admin","— / 9480806073","kpasysadm@ksp.gov.in"
"Special Units","Karnataka Police Academy (KPA)","FSL LAB","0821-2418631 / —",""
"Special Units","Karnataka Police Academy (KPA)","AAO","0821-2418636 (O) / 0821-2520980 / —","kpamyc@ksp.gov.in"
"Special Units","Karnataka Police Academy (KPA)","LIBRARY","0821-2418635 / —",""
"Special Units","Karnataka Police Academy (KPA)","KPA, NEW MESS","0821-2418637 / —",""
"Special Units","Karnataka Police Academy (KPA)","KPA, GUEST HOUSE","0821-2418638 / —",""
"Special Units","Karnataka Police Academy (KPA)","SENIOR POLICE OFFICERS HOTEL (SANGAMA)","0821-2418729 / —",""
"Special Units","Karnataka Police Academy (KPA)","HOSALLI & NETHRAVATHI GUEST HOUSE","0821-2418730 / —",""
"Special Units","Finger Print Bureau (FPB)","SP, FPB, Bengaluru","080-22943590 / 22942387 / 9480800475","fpb@ksp.gov.in, spfpb@ksp.gov.in"
"Special Units","Finger Print Bureau (FPB)","ACP, FPB, Bengaluru City","080-22942190 / 22943280 / 9480800477","fpubcp@ksp.gov.in"
"Special Units","Finger Print Bureau (FPB)","DSP, FPB, Admin Madiwala, Bengaluru","080-22943215 / 9480800479",""
"Special Units","Finger Print Bureau (FPB)","DSP, FPB HQRS, Madiwala, Bengaluru","22943438 / 9480800478",""
"Special Units","Finger Print Bureau (FPB)","DSP, Central Range","080-22942619 / 9480800481",""
"Special Units","Finger Print Bureau (FPB)","PI, FPB, Bengaluru","080-22208393 / 9480802410",""
"Special Units","Finger Print Bureau (FPB)","PI, FPB, Tumkur","— / 9480802910",""
"Special Units","Finger Print Bureau (FPB)","PI, FPB, Kolar","—",""
"Special Units","Finger Print Bureau (FPB)","DSP, Eastern Range","08192-272001 / 9480800482",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Davanagere","— / 9480803210",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Shivamogga","— / 9480803310",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Chitradurga","— / 9480803178",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Haveri","— / 9480804510",""
"Special Units","Finger Print Bureau (FPB)","DSP, Southern Range","— / 9480800488",""
"Special Units","Finger Print Bureau (FPB)","ACP, FPB, Mysuru City","0821-2418336 / 9480800487",""
"Special Units","Finger Print Bureau (FPB)","PSI FPB, Mysuru District","— / 9480805010",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Mandya","— / 9480804810",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Chamarajanagar","— / 9480804610",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Kodagu","— / 8277987463",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Hassan","—",""
"Special Units","Finger Print Bureau (FPB)","DSP, Western Range","— / 9480800486",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Mangaluru","— / 8277986369",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Chikkamagaluru","— / 9945325388",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Karwar","— / 8277987463",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Udupi","—",""
"Special Units","Finger Print Bureau (FPB)","DSP, Northern Range","0831-2405245 / 9480800480",""
"Special Units","Finger Print Bureau (FPB)","ACP, FPB, Hubballi-Dharwad","0836-2233539 / 9480800484",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Dharwad","— / 9480804310",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Bagalkote","— / 9480803910",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Vijayapura","— / 9480804210",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Belagavi","— / 9480804010",""
"Special Units","Finger Print Bureau (FPB)","PSI FPB, Gadag","— / 9480804410",""
"Special Units","Finger Print Bureau (FPB)","DSP, North Eastern Range","— / 9480800483",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Kalaburagi","— / 9480803510",""
"Special Units","Finger Print Bureau (FPB)","PI FPB, Yadagiri","— / 9480803665",""
"Special Units","Finger Print Bureau (FPB)","PSI FPB, Bidar","— / 9480803409",""
"Special Units","Finger Print Bureau (FPB)","PSI FPB, Raichur","— / 9480803810",""
"Special Units","Finger Print Bureau (FPB)","PSI FPB, Vijayanagar","— / 9480805711",""
"Special Units","Finger Print Bureau (FPB)","PSI FPB, Koppal","— / 9480803710",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","DIGP & Director, FSL","080-25532910 / 22942385 / 9480800823","directorfsl@ksp.gov.in"
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Joint Director, FSL","080-29918805 / 6361525427","jdadminfsl@ksp.gov.in"
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Deputy Director, DNA Centre","080-25634892 / 22943264 / 8310377453",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Deputy Director, RFSL, Mangaluru","0824-2220564 / 2220542 / 9481266081","rfslmaq@ksp.gov.in"
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Deputy Director, RFSL, Mysuru","0821-2522250 / 2418538 / 9620513276","rfslmys@ksp.gov.in"
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Deputy Director, RFSL, Hubballi","0836-2233488 / 9620513276","ddrfslhubballi@gmail.com"
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Deputy Director, RFSL, Davangere","08192-291593 / 9686616586","rfsldvg@ksp.gov.in, ddrfslbathi@gmail.com"
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Deputy Director, RFSL, Kalaburagi","08472-298040 / 298048 / 8095179804","rfslgba@ksp.gov.in"
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Deputy Director, RFSL, Belagavi","0831-2405249 / 8095179804","rfslbgm@ksp.gov.in"
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Deputy Director, RFSL, Ballari","08392-200453 / 9980011544","rfslgba@ksp.gov.in, adrfslbly@gmail.com"
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Asst. Director, Psychology Division","080-22943150 / —",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Questioned Document Division","080-22943350 / —",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Store Section","080-22943739 / —",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Section Superintendent","080-22943356 / —",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Administrative Office, FSL","080-25532910 / —",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","President (ADGP & Commissioner of Bengaluru City)","— / 9480801001",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Secretary (IGP)","— / 9448174755",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","President (Retd. SP)","080-23389797 / 9448519888",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Vice-President-1 (Retd. DSP)","— / 9448784550",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Vice-President-2 (Retd. DSP)","— / 9845563322",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Secretary (Retd. DSP)","— / 9900844988",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Joint Secretary (Retd. DSP)","— / 9886013214",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Treasurer (Retd. SP)","— / 9901089999",""
"Special Units","Directorate of Forensic Science Laboratory (FSL)","Magadi Road Office","080-23389797 / 9606704500",""
"Special Units","Karnataka State Police Complaint Authority","Chairman (Former Judge High Court of Karnataka)","080-22868302 / 22868303 / —","adgpgc@ksp.gov.in, spca@karnataka.gov.in"
"Special Units","Karnataka State Police Complaint Authority","DGP & Member (Women)","080-22868302 / 22868303 / —",""
"Special Units","Karnataka State Police Complaint Authority","Member Secretary (ADGP, Grievances & Human Rights)","080-22868302 / 22868303 / 9480800026","adgpgc@ksp.gov.in"
"Special Units","Karnataka State Police Complaint Authority","Member (Civil Society)","080-22868302 / 22868303 / —",""
"Commissionerates","Bengaluru City","ADGP, Commissioner of Police, Bengaluru City","22260222 / 22942215 / 22374022 / 9480801001","compolbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","IGP, Addl. CP, Intelligence, Bengaluru City","22200924 / 22942254 / 9480801012","jtcpintbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","IGP, Addl. CP, Crime","22263875 / 22942372 / 9480801011","jtcpcrimebcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DIGP, Joint CP, Traffic","22942276 / 22862222 / 9480801006","jtcptrafficbcp@ksp.gov.in, addlcptrafficbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DIGP, Joint CP, West Bengaluru City","22200902 / 22942259 / 9480801002","addlcpwest@ksp.gov.in"
"Commissionerates","Bengaluru City","DIGP, Joint CP, East Bengaluru City","22200904 / 22942267 / 9480801010","addlcpeast@ksp.gov.in"
"Commissionerates","Bengaluru City","DIGP, Joint CP, Admin","22268374 / 22943359 / 9480801003","ddlcpadmin@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, East","25567085 / 22942312 / 9480801201","dcpeastbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, Traffic North","23551133 / 22942411 / 9480801133","dcptrafficnorth@gmail.com"
"Commissionerates","Bengaluru City","DCP, West","22370195 / 22942356 / 9480801020","dcpwest@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, Traffic South","22943561 / 9480800820","dcptrfsouthbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, Traffic West","22942318 / 22943034 / 23562771 / 9480801901","dcptrafficwest@gmail.com, dcptrfwest@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, South-East","25530284 / 22943465 / 22943481 / 9480801601","dcpsoutheastbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, Crime-1","22200912 / 22942366 / 9480801016","dcpcrbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, Central","22942344 / 22865907 / 9480801101","dcpcentral@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, CAR, HQ","26701406 / 22942415 / 9480801017","dcpcarhq@gmail.com"
"Commissionerates","Bengaluru City","DCP, North-West","22943553 / 22943661 (C/R) / 9480801007","dcpnorthwestbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, South","26635199 / 22942309 / 22943296 / 9480801501","dcpsouthbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, North","22942299 / 23567714 / 9480801301","dcpnorth@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, Command Center","22202593 / 22943177 / 9480801092","dcpcomdcentrebcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, INT, Bengaluru City","22200920 / 22942354 / 9480801032","dcpintbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, Whitefield","22942852 / 25223022 / 22942959 / 9480801084","dcpwhitefieldbcp@ksp.gov.in"
"Commissionerates","Bengaluru City","DCP, North-East","23632002 / 22943676 / 9480801064","dcpnortheast@ksp.gov.in"
