AGID,Name,Rank,Email,Mobile,Landline,District,Office,Unit
AGID1465,DSP Shiggoan,DSP,sdposhiggoaonhvr@ksp.gov.in,9480804522,08378-255333,Haveri,DSP Shiggoan,L&O
AGID1537,DSP Shikaripura,DSP,sdposhikaripurashi@ksp.gov.in,9480803323,08187-222442,Shivamogga,DSP Shikaripura,L&O
AGID2649,DSP Shivamogga,DSP,shipsdcre@ksp.gov.in,9480806158,08182-200788,Eastern,PS Shivamogga,DCRE
AGID1538,DSP Shivamogga (A),DSP,sdpeshimogashi@ksp.gov.in,9480803321,08182-261404,Shivamogga,DSP Shivamogga (A),L&O
AGID1539,DSP Shorapur,DSP,sdposhorapurydr@ksp.gov.in,9480803637,08443-256302,Yadgiri,DSP Shorapur,L&O
AGID1540,DSP Sindhanoor,DSP,sdposindhanoorrcr@ksp.gov.in,9480803822,08535-220222,Raichur,DSP Sindhanoor,L&O
AGID1541,DSP Sira,DSP,sdposiratkr@ksp.gov.in,9480802921,08135-275184,Tumkur,DSP Sira,L&O
AGID1542,DSP Sirsi,DSP,sdposirsiukwr@ksp.gov.in,9480805222,08384-226424,Uttara Kannada,DSP Sirsi,L&O
AGID1543,DSP Siruguppa,DSP,,9480803021,,Ballari,DSP Siruguppa,L&O
AGID1544,DSP Somawarpet,DSP,sdpospetmer@ksp.gov.in,9480804921,82762744,Kodagu,DSP Somawarpet,L&O
AGID1466,DSP Tarikere,DSP,sdpotarikereckm@ksp.gov.in,9480805122,08261-222266,Chikkamagaluru,DSP Tarikere,L&O
AGID1545,DSP Tiptur,DSP,sdpotipturtkr@ksp.gov.in,9480802923,08134-251084,Tumkur,DSP Tiptur,L&O
AGID1546,DSP Toranagallu,DSP,sdpotngblr@ksp.gov.in,9480803010,08392-200763,Ballari,DSP Toranagallu,L&O
AGID1547,DSP Tumkur Sub Division,DSP,sdpotkr@ksp.gov.in,9480802920,2272340,Tumkur,DSP Tumkur Sub Division,L&O
AGID1548,DSP Udupi,DSP,sdpoudp@ksp.gov.in,9480805420,0820-2521257,Udupi,DSP Udupi,L&O
AGID1549,DSP Vijayapura,DSP,sdpobijapurbjp@ksp.gov.in,9480804220,,Vijayapura,DSP Vijayapura,L&O
AGID1550,DSP Virajpet,DSP,sdpovpetmer@ksp.gov.in,9480804922,8274257488,Kodagu,DSP Virajpet,L&O
AGID0675,DSP Wireless South Zone,DSP,dspwszmys@ksp.gov.in,9480800912,8212418572,Mysuru,DSP Wireless South Zone,Wireless
AGID1551,DSP Yadgiri,DSP,sdpoyadgirgydr@ksp.gov.in,9480803526,08473-252301,Yadgiri,DSP Yadgiri,L&O
AGID0966,DSP/PI KLA,PI,,,08182-222671,Shivamogga,DSP/PI KLA,KLA
AGID0969,DYSP INT,,,,,Raichur,DYSP INT,Other
AGID0947,Deployment Section,,,,22942865,Bengaluru City,Deployment Section,Minisrial
AGID0948,Deputy Commissioner,,dcukwr@nic.in,,8382226536,Uttara Kannada,Deputy Commissioner,DC
AGID0459,Dir. RFSL,,rfslmaq@ksp.gov.in,8277986369,0824-2220564,Dakshina Kannada,Dir. RFSL,FSL
AGID0949,Dir. Social Welfare Office,,socialwelfareckm@nic.in,,8262220780,Chikkamagaluru,Dir. Social Welfare Office,Other
AGID0462,Dist Health Officer,DHO,,,8156275077,Chikkaballapura,Dist Health Officer,Health
AGID0952,Dist Session Judge,,,,8156270966,Chikkaballapura,Dist Session Judge,Court
AGID0953,Dist Sessions Judge,,,,222091,Kolar,Dist Sessions Judge,Court
AGID0538,Dist. Jail,,,9480806415,27274220,Ramanagara,Dist. Jail,Prison
AGID0536,Dist. Jail,,,9480806515,08392-255025,Ballari,Dist. Jail,Prison
AGID0537,Dist. Jail,,,9480806504,08482-228225,Bidar,Dist. Jail,Prison
AGID0954,Dist. Judge,,distjudgeckm@nic.in,,8262231066,Chikkamagaluru,Dist. Judge,Court
AGID0955,Dist. Judge,,,,08539-221900,Koppal,Dist. Judge,Court
AGID0539,Dist. Prison,,,,08352-272044,Vijayapura,Dist. Prison,Prison
AGID0956,Dist. Public Prosecutor,,,,08482-226183,Bidar,Dist. Public Prosecutor,Court
AGID0957,Dist. Session Court,,,,8172268352,Hassan,Dist. Session Court,Court
AGID0958,Dist. Session Judge,,,,08472-221856,Kalaburagi,Dist. Session Judge,Court
AGID0959,Dist. Social Welfare,,,,08539-220138,Koppal,Dist. Social Welfare,Other
AGID0540,Dist. Sub-Jail,,subjailckm@nic.in,,8262222784,Chikkamagaluru,Dist. Sub-Jail,Prison
AGID0960,Dist. Surgeon,,surgeonckm@nic.in,,8262235213,Chikkamagaluru,Dist. Surgeon,Health
AGID0961,Dist. Surgeon Hospital,PI,,,2420173,Belagavi City,Dist. Surgeon Hospital,Health
AGID0962,Dist. Treasury,,,,0836-2447483,Dharwad,Dist. Treasury,Other
AGID0138,District Disaster Center,,disasterukwr@nic.in,8277888936,08382-221248,Uttara Kannada,District Disaster Center,CEN
AGID0398,District Fire Officer,,,,0816-2272527,Tumkur,District Fire Officer,Fire
AGID0399,District Fire Officer,,dfoukwr@ksfes.gov.in,,8382226364,Uttara Kannada,District Fire Officer,Fire
AGID0397,District Fire Officer,,,,8226222661,Chamarajanagara,District Fire Officer,Fire
AGID0463,District Health Officer,,,,8226222421,Chamarajanagara,District Health Officer,Health
AGID0464,District Health Officer,,dhoukwr@nic.in,,8382226339,Uttara Kannada,District Health Officer,Health
AGID0541,District Prison,,prisonukwr@nic.in,,8382226347,Uttara Kannada,District Prison,Prison
AGID0964,District Session Judge,,,,0816-2275084,Tumkur,District Session Judge,Court
AGID0963,District Session Judge,,,,08192-252562,Davanagere,District Session Judge,Court
AGID0965,District Surgeon,,,,8226222067,Chamarajanagara,District Surgeon,Health
AGID0337,Dog Squad,,ecbng@ksp.gov.in,8277960645,22942198,Bengaluru,Dog Squad,Dog Squad
AGID0338,Dog Squad,,,,2418563,Mysuru City,Dog Squad,Dog Squad
AGID0336,Dog Squad,,,,22943085,Bengaluru City,Dog Squad,Dog Squad
AGID0335,Dog Squad,,,,22943085,Bengaluru City,Dog Squad,Dog Squad
AGID0967,Dy. Commissioner Labour,,,,2428066,Belagavi City,Dy. Commissioner Labour,Other
AGID0968,Dy. Director BIMS,,,,2421464,Belagavi City,Dy. Director BIMS,Other
AGID0970,DySP Airport PS,,airportsecuritymyc@ksp.gov.in,9480800772,,Mysuru City,"DYSP, AIRPORT PS",L&O
AGID2640,DySP Bengaluru Rural,DySP,sscrdcre@ksp.gov.in,9480806127,080-29910723,Central,PS Bengaluru Rural,DCRE
AGID2636,DySP City East,DySP,bngeastpsdcre@ksp.gov.in,9480806121,080-29910753,Bengaluru City,PS City East,DCRE
AGID2637,DySP City West,DySP,bngwestpsdcre@ksp.gov.in,9480806124,080-29910763,Bengaluru City,PS City West,DCRE
AGID2638,DySP HQ PS,DySP,hqpsdcre@ksp.gov.in,9480806114,080-22268001,Bengaluru City,PS DCRE HQ,DCRE
AGID2662,DySP Hassan,DySP,hsnpsdcre@ksp.gov.in,9480806140,08172-200023,Southern,PS Hassan,DCRE
AGID2652,DySP Kalaburagi,DySP,kbcpsdcre@ksp.gov.in,9480806174,08472-255266,Northeastern,PS Kalaburagi,DCRE
AGID2642,DySP Kolar,DySP,klrpsdcre@ksp.gov.in,9480806130,0815-2221647,Central,PS Kolar,DCRE
AGID0373,DySP MESCOM,,mescomvigilance@rediffmail.com,,,Dakshina Kannada,DySP MESCOM,ESCOM
AGID2665,DySP Mysuru,DySP,mycpsdcre@ksp.gov.in,9480806138,0821-2344970,Southern,PS Mysuru,DCRE
AGID2643,DySP Ramanagar,DySP,rmnpsdcre@ksp.gov.in,9480806134,080-29911891,Central,PS Ramanagar,DCRE
AGID2644,DySP Tumkur,DySP,tkrpsdcre@ksp.gov.in,9480806132,0816-2260824,Central,PS Tumkur,DCRE
AGID2659,DySP Vijayapura,DySP,vjppsdcre@ksp.gov.in,9480806156,08352-200150,Northern,PS Vijayapura,DCRE
AGID0370,ERSS,,,,08375-232143,Haveri,ERSS,ERSS
AGID0371,ERSS 112 Raichur,,,9480803870,,Raichur,ERSS 112 Raichur,ERSS
AGID0372,ERSS. 112,,,,8172268422,Hassan,ERSS. 112,ERSS
AGID0971,EST Accounts,,,,22943138,Bengaluru City,EST Accounts,State HQ
AGID2618,EST COP,SS,,,22942834,Bengaluru City,EST COP,State HQ
AGID0391,Excise,,,,08539-222002,Koppal,Excise,Excise
AGID0387,Excise,,,,8226225676,Chamarajanagara,Excise,Excise
AGID0388,Excise,,,,0836-2322066,Dharwad,Excise,Excise
AGID0390,Excise,,,,222115,Kolar,Excise,Excise
AGID0389,Excise,,,,8272229295,Kodagu,Excise,Excise
AGID0394,Excise,,,,08473-296732,Yadgiri,Excise,Excise
AGID0393,Excise,,,,27271059,Ramanagara,Excise,Excise
AGID0386,Excise,,,,08392-256296,Ballari,Excise,Excise
AGID0392,Excise,,,,8232220313,Mandya,Excise,Excise
AGID0460,F.S.L,,,,2220564,Mangaluru City,F.S.L,FSL
AGID0458,FRRO,,,,22218195,Bengaluru City,FRRO,FRRO
AGID0461,FSL,,rfslmys@ksp.gov.in,,821252225,Mysuru,FSL,FSL
AGID0400,Fire Force,,,,8156277052,Chikkaballapura,Fire Force,Fire
AGID0401,Fire Force,,,,8272229299,Kodagu,Fire Force,Fire
AGID0402,Fire Force Officer,,,,243222,Kolar,Fire Force Officer,Fire
AGID0406,Fire Office,,,,0816-2272585,Tumkur,Fire Office,Fire
AGID0403,Fire Office,,,,08354-236101,Bagalkote,Fire Office,Fire
AGID0405,Fire Office,,,,08182-222888,Shivamogga,Fire Office,Fire
AGID0404,Fire Office,,,,08192-258101,Davanagere,Fire Office,Fire
AGID0407,Fire Officer,,,,08472-222188,Kalaburagi,Fire Officer,Fire
AGID0409,Fire Officer,,,,2423333,Mangaluru City,Fire Officer,Fire
AGID0408,Fire Officer,,,,08539-221300,Koppal,Fire Officer,Fire
AGID0410,Fire Officer Belagavi,,dfobgv@gmail.com,,2429441,Belagavi City,Fire Officer Belagavi,Fire
AGID0411,Fire Officer Belagavi,,,,0831-2429441,Belagavi,Fire Officer Belagavi,Fire
AGID0412,Fire Officer Dharwad,,,,2794101,Hubballi–Dharwad City,Fire Officer Dharwad,Fire
AGID0413,Fire Station,,,,0836-2794555,Dharwad,Fire Station,Fire
AGID0416,Fire Station,,,,08352-270160,Vijayapura,Fire Station,Fire
AGID0417,Fire Station,,,,08473-252688,Yadgiri,Fire Station,Fire
AGID0415,Fire Station,,,,29785101,Ramanagara,Fire Station,Fire
AGID0414,Fire Station,,,,08372-237444,Gadag,Fire Station,Fire
AGID0418,Fire Station Bangarpet,,,,257101,KGF,Fire Station Bangarpet,Fire
AGID0419,Fire Station Hassan,,,,8172240777,Hassan,Fire Station Hassan,Fire
AGID0420,Fire Station Haveri,,,,08375-232666,Haveri,Fire Station Haveri,Fire
AGID0421,Fire Station KGF,,,9480823713,266000,KGF,Fire Station KGF,Fire
AGID0374,GESCOM,,,,08392-268632,Ballari,GESCOM,ESCOM
AGID0375,GESCOM Kalaburagi,,,,08472-275923,Kalaburagi,GESCOM Kalaburagi,ESCOM
AGID0974,GPS,,,,22943658,Bengaluru City,GPS,Other
AGID0972,Ganesh Babu N R Legal Advisor,,,8317429087,22942721,Bengaluru City,Ganesh Babu N R Legal Advisor,Court
AGID0973,Gangjam OP,,,,823625214,Mandya,Gangjam OP,L&O
AGID0376,HESCOM,,,,08354-234011,Bagalkote,HESCOM,ESCOM
AGID0985,HP Bagalkote,,,,,Bagalkote,HP Bagalkote,Other
AGID0976,Haliyal PRS,,prshaliyalukwr@ksp.gov.in,,8284220333,Uttara Kannada,Haliyal PRS,PRS
AGID0977,Hidkaldam OP,,,,08333-263069,Belagavi,Hidkaldam OP,L&O
AGID0978,High Court,,,,0836-2485265,Dharwad,High Court,Court
AGID0979,High Court,,,,08472-264102,Kalaburagi,High Court,Court
AGID0980,High Court Dharwad,,,,2486281,Hubballi–Dharwad City,High Court Dharwad,Court
AGID0981,High Way Toll,,,9885420786,,Belagavi City,High Way Toll,Toll
AGID0982,Highway Toll,,,7760990864,,Bengaluru,Highway Toll,Toll
AGID0983,Holealur OP,,,,08381-266133,Gadag,Holealur OP,L&O
AGID0481,Home Guard,,,,08372-220203,Gadag,Home Guard,Home Guard
AGID0486,Home Guard,,,,8232220125,Mandya,Home Guard,Home Guard
AGID0484,Home Guard,,,,243149,Kolar,Home Guard,Home Guard
AGID0477,Home Guard,,,,08392-276421,Ballari,Home Guard,Home Guard
AGID0476,Home Guard,,,,08354-235052,Bagalkote,Home Guard,Home Guard
AGID0489,Home Guard,,homeguardukwr@ksp.gov.in,,8382226361,Uttara Kannada,Home Guard,Home Guard
AGID0487,Home Guard,,,,2220562,Mangaluru City,Home Guard,Home Guard
AGID0478,Home Guard,Cmdt,,,,Chikkaballapura,Home Guard,Home Guard
AGID0490,Home Guard,,,,08352-265829,Vijayapura,Home Guard,Home Guard
AGID0479,Home Guard,,homeguardckm@ksp.gov.in,,8262220379,Chikkamagaluru,Home Guard,Home Guard
AGID0488,Home Guard,,,,,Tumkur,Home Guard,Home Guard
AGID0482,Home Guard,,,,817224069,Hassan,Home Guard,Home Guard
AGID0485,Home Guard,,,,08539-225533,Koppal,Home Guard,Home Guard
AGID0483,Home Guard,,commandant228427@gmail.com,,8272228427,Kodagu,Home Guard,Home Guard
AGID0480,Home Guard,,,,0836-2442496,Dharwad,Home Guard,Home Guard
AGID0491,Homeguard,,,,27272265,Ramanagara,Homeguard,Home Guard
AGID0984,Hospital No.,PI,,9448016964,08482-226211,Bidar,Hospital No.,Other
AGID0986,Human Rights,,,,22392205,Bengaluru City,Human Rights,Other
AGID0987,IB,,,9686004656,,Chamarajanagara,IB,Other
AGID0497,IB Circuit House,,,,8232224503,Mandya,IB Circuit House,Guest House
AGID0495,IB Circuit House,,,,08372-220600,Gadag,IB Circuit House,Guest House
AGID0496,IB Circuit House,,,,08539-230280,Koppal,IB Circuit House,Guest House
AGID0498,IB Guest House,,,,2542217,Mysuru City,IB Guest House,Guest House
AGID1552,IGP Addl. CP Crime,IGP,jtcpcrimebcp@ksp.gov.in,9480801011,22263875,Bengaluru City,IGP Addl. CP Crime,L&O
AGID1553,IGP Addl. CP Intelligence Bengaluru City,IGP,jtcpintbcp@ksp.gov.in,9480801012,22200924,Bengaluru City,IGP Addl. CP Intelligence Bengaluru City,L&O
AGID1554,IGP Addl. CP West,IGP,addlcpwest@ksp.gov.in,9480801002,22200902,Bengaluru City,IGP Addl. CP West,L&O
AGID1555,IGP Ballari Range,IGP,igpblr@ksp.gov.in,9480800034,08392-254900 (CB),Ballari,IGP Ballari Range,L&O
AGID0188,IGP Central Range,IGP,igper@ksp.gov.in,9480800027,22264412,Eastern Range,IGP Central Range,L&O
AGID1556,IGP Eastern Range,IGP,igper@ksp.gov.in,9480800028,08192-237830,Davanagere,IGP Eastern Range,L&O
AGID1557,IGP Northern Range,IGP,igpnr@ksp.gov.in,9480800029,0831-2405200-F,Belagavi,IGP Northern Range,L&O
AGID1559,IGP Office,AAO,,,08392-255900,Ballari,IGP Office,IGP Off
AGID1561,IGP Office,AAO,,,08192-237829,Davanagere,IGP Office,IGP Off
AGID1560,IGP Office,AAO,,,22943053,Bengaluru,IGP Office,IGP Off
AGID1570,IGP Office -BR,SS,,,08392-255400,Ballari,IGP Office -BR,IGP Off
AGID1558,IGP Western Range,IGP,igpwr@ksp.gov.in,9480800032,0824-2220501-F,Mangaluru,IGP Western Range,L&O
AGID0990,INS Kadamba,,inskadamba@nic.in,,8382264016,Uttara Kannada,INS Kadamba,Other
AGID0993,INT,,,9449878691,2225014,Mangaluru City,INT,S INT
AGID0991,INT,,,,08194-231403,Chitradurga,INT,S INT
AGID0992,INT,,Mer.int@ksp.gov.in,,8272228425,Kodagu,INT,S INT
AGID1325,IRB Bn,,,,,IRB -Bn 2 Vijayapura,IRB Bn,IRB
AGID1323,IRB Bn,,,,,IRB -Bn 1 Munirabad,IRB Bn,IRB
AGID1329,IRB Bn,,,,,IRB -Bn 4 KGF,IRB Bn,IRB
AGID1327,IRB Bn,,,,,IRB -Bn 3 Avathi,IRB Bn,IRB
AGID0502,ISD,,,9480800694,8232227777,Mandya,ISD,ISD
AGID0501,ISD,,piisdhsn@ksp.gov.in,,8272228,Kodagu,ISD,ISD
AGID0503,ISD,,,9480800625,2559600,Mangaluru City,ISD,ISD
AGID0500,ISD,,,9480800671,,Haveri,ISD,ISD
AGID0988,Immigration,,,,22943278,Bengaluru City,Immigration,FRRO
AGID0989,Inda Bhavan Munirabad,,,,08539-270235,Koppal,Inda Bhavan Munirabad,Other
AGID0994,Intelligence Bureau Karwar,,ibkarwar@nic.in,,8382226638,Uttara Kannada,Intelligence Bureau Karwar,IB
AGID0531,Jail,,,,2492303,Mangaluru City,Jail,Prison
AGID0527,Jail,,,,08354-235255,Bagalkote,Jail,Prison
AGID0529,Jail,,,,08539-221200,Koppal,Jail,Prison
AGID0528,Jail,,dpmdk.prisons-kar@gov.in,,8272228462,Kodagu,Jail,Prison
AGID0530,Jail,,,,8232220233,Mandya,Jail,Prison
AGID0532,Jailer Sub Jail K.G.F,,,9480806419,274625,KGF,Jailer Sub Jail K.G.F,Prison
AGID0995,K.S.R.T.C Out Post,,,,22943113,Bengaluru City,K.S.R.T.C Out Post,Other
AGID0996,KARP Commdt. MTD COY Mysuru,Cmdt,acpmountedmyp@ksp.gov.in,9480802206,2418154,Mysuru City,KARP Commdt. MTD COY Mysuru,MTD COY
AGID0997,KAS Officers Guest House,,,,22206287,Bengaluru City,KAS Officers Guest House,Guest House
AGID0999,KIMS OP Hubballi,,,,2345354,Hubballi–Dharwad City,KIMS OP Hubballi,L&O
AGID1002,KSP App,,,,22943772,Bengaluru City,KSP App,Others
AGID1309,KSRP Bn,Cmdt,,,,6th Bn – Kalaburagi,KSRP Bn,KSRP
AGID1307,KSRP Bn,Cmdt,,,,5th Bn – Mysuru,KSRP Bn,KSRP
AGID1319,KSRP Bn,Cmdt,,,,11th Bn – Hassan,KSRP Bn,KSRP
AGID1311,KSRP Bn,Cmdt,,,,7th Bn – Mangaluru,KSRP Bn,KSRP
AGID1301,KSRP Bn,Cmdt,,,,2nd Bn – Belagavii,KSRP Bn,KSRP
AGID1317,KSRP Bn,Cmdt,,,,10th Bn – Shiggavi,KSRP Bn,KSRP
AGID1315,KSRP Bn,Cmdt,,,,9th Bn – Bengaluru,KSRP Bn,KSRP
AGID1305,KSRP Bn,Cmdt,,,,4th Bn – Bengaluru,KSRP Bn,KSRP
AGID1321,KSRP Bn,,,,,12th Bn – Tumakuru,KSRP Bn,KSRP
AGID1298,KSRP Bn,Cmdt,,,,1st Bn – Bengaluru,KSRP Bn,KSRP
AGID1303,KSRP Bn,Cmdt,,,,3rd Bn – Bengaluru,KSRP Bn,KSRP
AGID1313,KSRP Bn,Cmdt,,,,8th Bn – Shivamogga,KSRP Bn,KSRP
AGID0998,Kempegowda International Airport (KIAL) OP,,,,22001101,Bengaluru City,Kempegowda International Airport (KIAL) OP,L&O
AGID1001,Konnur OP,,,,08377-266233,Gadag,Konnur OP,L&O
AGID1000,Konnur OP,,,,08332-285493,Belagavi,Konnur OP,L&O
AGID1003,M.G. Govt Hospital,PI,mghospitalckm@nic.in,,8262234876,Chikkamagaluru,M.G. Govt Hospital,Other
AGID0377,MD HESCOM Hubballi,,,,2322771,Hubballi–Dharwad City,MD HESCOM Hubballi,ESCOM
AGID0378,MESCOM,,,,2446732,Mangaluru City,MESCOM,ESCOM
AGID1004,Makkala Sahayavani,,,,22943224,Bengaluru City,Makkala Sahayavani,Other
AGID1005,Market PS,,marketbgm@ksp.gov.in,9480804045,2405242,Belagavi City,MARKET PS,L&O
OFF_HJ6NE2B4I,N/A,PI,,NM,08152-243066,UNKNOWN,PI KOLAR,FPB
OFF_JYCQWQ7WE,N/A,DD,,NM,0824-2220542,UNKNOWN,DY DIR FSL MANGALURU,FSL
OFF_V9FWQHHXD,N/A,PSI,,9480802133,08482-226389,UNKNOWN,PSI Railway Bidar,Railways
OFF_5XAT8PVO5,N/A,,,NM,080-22943379,UNKNOWN,STORE SECTION,FSL
OFF_L9B8FMU0L,N/A,PI,,9480800668,,UNKNOWN,PI WEST DIV BENGALURU,ISD
OFF_EE1ZJID2O,N/A,DIGP,digprly@ksp.gov.in,9480800455,080-22102659,UNKNOWN,DIGP Railways,Railways
OFF_FAK1FQUUY,N/A,PI,,9480800471,08532-25534,UNKNOWN,PI Railway Raichur,Railways
OFF_PI6RSP0MD,N/A,,,NM,0821-2418637,UNKNOWN,KPA New Mess,KPA Mys
OFF_6H4D08M5U,N/A,ASO,,NM,0821-2418636,UNKNOWN,AAO,KPA Mys
OFF_QUSFEEGRO,N/A,PI,,9480800738,,UNKNOWN,PI LOGISTIC,ISD
AGID0426,N/A,ACP,,9480800487,0821-2418336,UNKNOWN,ACP FPB MYSURU CITY,FPB
OFF_HR8PGSEN1,N/A,,,NM,0821-2418630,UNKNOWN,"DD, Prosecutor",KPA Mys
AGID0455,N/A,PI,,9480804210,,UNKNOWN,PI FPB VIJAYAPURA,FPB
OFF_BJQ0LZJN6,N/A,,,NM,0821-2418638,UNKNOWN,KPA Guest House,KPA Mys
OFF_Q7WIZHK6R,N/A,ASO,,NM,0821-2418636,UNKNOWN,AAO,KPA Mys
OFF_QL3P9UJI9,N/A,COMMANDANT,"cmdbtn2ksisf@ksp.gov.in, crksisf2@ksp.gov.in",9480800616,"08182-296211, 08182-291100 (Control Room)",UNKNOWN,COMMANDANT KSISF-II SHIVAMOGGA,ISD
OFF_556OKP9CI,N/A,ACP,,9480800484,0836-2235539,UNKNOWN,ACP FPB DHARWAD,FPB
OFF_WAPU31W2J,N/A,PSI,,9480803810,,UNKNOWN,PSI FPB RAICHUR,FPB
OFF_7HLA5VAV2,N/A,AO,,NM,080-2553740,UNKNOWN,ADMINISTRATIVE OFFICE FSL,FSL
OFF_OVFGOW60H,N/A,,,NM,0821-2418635,UNKNOWN,Library,KPA Mys
OFF_USYZGV1Z8,N/A,,,NM,080-22942843,UNKNOWN,AAO,Railways
OFF_OPH9N7KLZ,N/A,,,NM,08152-243066,UNKNOWN,PI KOLAR,FPB
AGID0327,N/A,PI,,9480802910,0816-22942910,UNKNOWN,PI FPB TUMKUR,FPB
AGID0427,N/A,DSP,,9480800483,08472-22942600,UNKNOWN,DSP FPB NORTH EASTERN RANGE KALABURGI,FPB
OFF_SI0EOPL4U,N/A,PI,,9480803910,,UNKNOWN,PI FPB BAGALKOT,FPB
AGID1530,N/A,DSP,,9480800462,0836-2233510,UNKNOWN,DSP Railway Hubli,Railways
OFF_QU0OV5IK1,N/A,PI,,9480800687,,UNKNOWN,PI NORTH EAST DIV,ISD
OFF_VXYCAZTHE,N/A,PSI,,9480803625,,UNKNOWN,PSI FPB BIDAR,FPB
OFF_C2R314SP0,N/A,,kspdcno@ksp.gov.in,9480800865,080-22943776,UNKNOWN,"Data Centre, Koramangala",SCRB
OFF_R5UXIDJ1E,N/A,PI,,9480800669,,UNKNOWN,PI TECH WING SOCIAL MEDIA,ISD
OFF_S27PNS0E7,N/A,Dept.Commandant,crksisf@ksp.gov.in,9480800647,"080-22942291, 080-22943820, 22943270 (Control Room)",UNKNOWN,DEPUTY COMMANDANT KSISF-I & I/C METRO QRT,ISD
OFF_RYXLO1GDY,N/A,DD,ddkpa@ksp.gov.in,9480800332,0821-2564297,UNKNOWN,"Dy. Director, KPA",KPA Mys
OFF_QHC7IW8IZ,N/A,SS,,NM,080-22943784,UNKNOWN,Section Supdt.,SCRB
OFF_4PVEGJJ7Y,N/A,,,NM,0821-2418638,UNKNOWN,KPA Guest House,KPA Mys
OFF_FNDOSSM8G,N/A,DSP,,9480800627,,UNKNOWN,DSP BENGALURU CENTRAL,ISD
OFF_ZUZP0VEI5,N/A,PSI,,9480805267,08382-226550,UNKNOWN,PSI FPB KARWAR,FPB
OFF_H766TMZCR,N/A,,,NM,080-22871245,UNKNOWN,RP Control Room,Railways
OFF_4UESATAVQ,N/A,JOINT,,NM,080-25527199,UNKNOWN,JOINT DIRECTOR FSL,FSL
OFF_88ABNSE1O,N/A,"SP,",spisdner@ksp.gov.in,9480800611,"08472-262521, 08472-262520",UNKNOWN,"SP, ISD KALABURGI",ISD
OFF_FJV8ZEFYN,N/A,CCT,crcct@ksp.gov.in,9480800672,080-29526151,UNKNOWN,CCT CONTROL ROOM,ISD
OFF_IRIFMAN0X,N/A,"CHC,",,9480806073,,UNKNOWN,"CHC, System Admin",KPA Mys
OFF_WFKYRRGSX,N/A,,,NM,0821-2418637,UNKNOWN,KPA New Mess,KPA Mys
AGID1897,N/A,PI,,9480800470,0824-2220559,UNKNOWN,PI Railway Mangaluru,Railways
OFF_TD0PZOL8L,N/A,PSI,,9480802131,08392-276063,UNKNOWN,PSI Railway Ballari,Railways
OFF_3GXY464AM,N/A,AD,,9480800334,0821-2418629,UNKNOWN,Asst. Director (Works),KPA Mys
OFF_5XRJ495L5,N/A,SP,sprly@ksp.gov.in,9480800458,080-22942351,UNKNOWN,SP Railways,Railways
OFF_31MEGPLZL,N/A,PI,,9480800469,08192-259643,UNKNOWN,PI Railway Davangere,Railways
OFF_VUA3RGEZW,N/A,PI,,9480802105,080-22943176,UNKNOWN,PI Railway RCB BLURU,Railways
OFF_LB3WE7GIM,N/A,,,NM,0821-2418730,UNKNOWN,Hoysala & Nethravathi Guest House,KPA Mys
OFF_Q1AA6OQ0X,N/A,080-22943072,(POLICE IT HELP DESK),NM,080-22943071,UNKNOWN,POLICE IT HELP DESK,SCRB
OFF_VOZJAGDH8,N/A,PSI,,9480805010,,UNKNOWN,PSI FPB MYSURU DIST,FPB
OFF_I58LA16DQ,N/A,,,NM,0820-2526444,UNKNOWN,PI FPB UDUPI,FPB
OFF_042PHP7D9,N/A,,,NM,080-22871245,UNKNOWN,RP Control Room,Railways
OFF_6P4YX3AJP,N/A,,,NM,0820-2526444,UNKNOWN,PI FPB UDUPI,FPB
OFF_AG1RZBWJP,N/A,DSP,,9480800618,,UNKNOWN,DSP ISD SECURITY AUDIT,ISD
OFF_22JZZTS9G,N/A,RP,,NM,080-22871245,UNKNOWN,RP Control Room,Railways
OFF_WY7DCA9Z1,N/A,0821-2520980-P,,NM,0821-2418636,UNKNOWN,AAO,KPA Mys
OFF_PO00E7SWG,N/A,SS,,NM,080-22943784,UNKNOWN,Section Supdt.,SCRB
OFF_3MOLCNLBW,N/A,"SP,",spwrsisd@ksp.gov.in,9480800612,0824-2423600,UNKNOWN,"SP, ISD WESTERN RANGE",ISD
OFF_31K8YNET6,N/A,,crksisf@ksp.gov.in,NM,080-22943270,UNKNOWN,KSISF CONTROL ROOM,ISD
OFF_LJAFIJ1HY,N/A,PI,,NM,0820-2526444,UNKNOWN,PI FPB UDUPI,FPB
OFF_MPCO9Q4HS,N/A,PI,,9480804810,,UNKNOWN,PI FPB MANDYA,FPB
OFF_K37KHUAFK,N/A,AD,,9480800335,0821-2418631,UNKNOWN,Asst. Director (Training),KPA Mys
OFF_WR5737YN5,N/A,,,9480800470,0824-2220559,UNKNOWN,PI Railway Mangaluru,Railways
OFF_3XY2IBH0J,N/A,SP,spadminisd@ksp.gov.in,9480800608,"080-25592737, 080-22943817",UNKNOWN,SP ISD ADMIN,ISD
OFF_UA0OXF1F9,N/A,DSP,,9480800481,080-22208393,UNKNOWN,DSP FPB CENTRAL RANGE BENGALURU,FPB
AGID0457,N/A,PI,,9480804510,,UNKNOWN,PI FPB HAVERI,FPB
OFF_6YHJMKXJ3,N/A,,,NM,0821-2418635,UNKNOWN,Library,KPA Mys
